Title,Year,Rating,Director,Actors,URL
Pan's Labyrinth,2006,8.2,Guillermo del Toro,"Ivana Baquero, Ariadna Gil",https://www.imdb.com/title/tt0457430/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_130
Chinatown,1974,8.2,Roman Polanski,"Jack Nicholson, Faye Dunaway",https://www.imdb.com/title/tt0071315/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_131
Tonari no Totoro,1988,8.2,Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka",https://www.imdb.com/title/tt0096283/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_132
"Three Billboards Outside Ebbing, Missouri",2017,8.2,Martin McDonagh,"Frances McDormand, Woody Harrelson",https://www.imdb.com/title/tt5027774/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_133
Judgment at Nuremberg,1961,8.2,Stanley Kramer,"Spencer Tracy, Burt Lancaster",https://www.imdb.com/title/tt0055031/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_134
Ran,1985,8.2,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao",https://www.imdb.com/title/tt0089881/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_135
El secreto de sus ojos,2009,8.2,Juan José Campanella,"Ricardo Darín, Soledad Villamil",https://www.imdb.com/title/tt1305806/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_136
Hauru no ugoku shiro,2004,8.2,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura",https://www.imdb.com/title/tt0347149/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_137
The Gold Rush,1925,8.2,Charles Chaplin,"Charles Chaplin, Mack Swain",https://www.imdb.com/title/tt0015864/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_138
The Bridge on the River Kwai,1957,8.2,David Lean,"William Holden, Alec Guinness",https://www.imdb.com/title/tt0050212/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_139
On the Waterfront,1954,8.2,Elia Kazan,"Marlon Brando, Karl Malden",https://www.imdb.com/title/tt0047296/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_140
"Lock, Stock and Two Smoking Barrels",1998,8.2,Guy Ritchie,"Jason Flemyng, Dexter Fletcher",https://www.imdb.com/title/tt0120735/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_141
A Beautiful Mind,2001,8.2,Ron Howard,"Russell Crowe, Ed Harris",https://www.imdb.com/title/tt0268978/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_142
Det sjunde inseglet,1957,8.2,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand",https://www.imdb.com/title/tt0050976/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_143
